CSCI2270,ATLS3000
000000000,000000000
0000011001,000000000
0000011001,000011110101
000000000,0000111001
0000010100,000000000
000000000,00001011011
0010000010,000000000
00000011101,000000000
000000000,00000111010
000000000,0000100101
00010100101,00010010101
0000101010,000000000
000000000,000000000
000010000,00001100100
00000111011,000000000
0100001000,000001101110
00000010111,0001000000
000000000,000000000
00000110110,000000000
00001011010,00001011001
000000000,0001001010
000000000,0001101000
00001010011,000000000
000111011001,00001111000
000000111111,000010000
0000100011,000000000
000000000,000000000
0000010101,0011001000
000000000,000000000
000010111110,000000000
00000100111,00001100110
000000000,0000110100
00000110111,000000000
000000000,00000110101
0000101010,000000000
000000000,000000000
000000000,000100000
000111101100,0011001000
0001000100,000000000
00001101010,000000000
000000000,000000000
00001001110,000000000
00101010010,000000000
000111001011,000000000
